Run ID,1021,,,,,,,,,,,,,,,,,,,
Run Date/Time,18/07/2014 08:52,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,1.5.4,,,,,,,,,,,,,,,,,,,
Protocol Name,18.07.14_BRD4 and BRD9 IC50 _10mM Stock_50uM FAC top_100nl transfer_0.5% DMSO_ 4 daughters_1in2.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G6,1.25E-06,M,BDG00021157a,Sample 4,2.5,2.5,8.004,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I6,1.25E-06,M,BDG00021341a,Sample 5,2.5,2.5,8.657,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J6,1.25E-06,M,BDG00021341a,Sample 5,2.5,2.5,8.654,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J5,3.75E-06,M,BDG00021341a,Sample 5,7.5,7.5,8.647,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I5,3.75E-06,M,BDG00021341a,Sample 5,7.5,7.5,8.639,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I4,6.25E-06,M,BDG00021341a,Sample 5,12.5,12.5,8.627,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J4,6.25E-06,M,BDG00021341a,Sample 5,12.5,12.5,8.614,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J3,1.25E-05,M,BDG00021341a,Sample 5,25,25,8.589,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I3,1.25E-05,M,BDG00021341a,Sample 5,25,25,8.564,85.619,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I2,2.50E-05,M,BDG00021341a,Sample 5,50,50,8.514,85.619,Percent,DMSO,
