Run ID,1215
Run Date/Time,2014-10-21 10:17:59
Application Name,Labcyte Echo Dose-Response
Application Version,1.5.4
Protocol Name,21.10.2014_Novartis_CECR_FALZ_IC50_10mM Stock_5uM FAC 10nltransfer 1in2 .edr
User Name,ACCESS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],3333486778,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M1,5E-06,M,BDV00005307a,Sample 3,10,10,4.671,84.401,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N1,5E-06,M,BDV00005307a,Sample 3,10,10,4.661,84.401,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,K1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L1,5E-06,M,BDV00005306a,Sample 11,10,10,4.95,86.03,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,K1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K1,5E-06,M,BDV00005306a,Sample 11,10,10,4.94,86.03,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,K1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K2,2.5E-06,M,BDV00005306a,Sample 11,5,5,4.935,86.03,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,K1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L2,2.5E-06,M,BDV00005306a,Sample 11,5,5,4.93,86.03,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,K1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L3,1.25E-06,M,BDV00005306a,Sample 11,2.5,2.5,4.927,86.03,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,K1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K3,1.25E-06,M,BDV00005306a,Sample 11,2.5,2.5,4.925,86.03,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J3,1.25E-06,M,BDV00005305a,Sample 15,2.5,2.5,5.647,85.082,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I3,1.25E-06,M,BDV00005305a,Sample 15,2.5,2.5,5.645,85.082,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I2,2.5E-06,M,BDV00005305a,Sample 15,5,5,5.64,85.082,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J2,2.5E-06,M,BDV00005305a,Sample 15,5,5,5.635,85.082,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J1,5E-06,M,BDV00005305a,Sample 15,10,10,5.625,85.082,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,O1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I1,5E-06,M,BDV00005305a,Sample 15,10,10,5.615,85.082,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,M1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I13,5E-06,M,BDV00005300a,Sample 13,10,10,5.692,86.457,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,M1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J13,5E-06,M,BDV00005300a,Sample 13,10,10,5.682,86.457,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,M1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J14,2.5E-06,M,BDV00005300a,Sample 13,5,5,5.677,86.457,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,M1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I14,2.5E-06,M,BDV00005300a,Sample 13,5,5,5.672,86.457,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,M1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,I15,1.25E-06,M,BDV00005300a,Sample 13,2.5,2.5,5.669,86.457,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,M1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,J15,1.25E-06,M,BDV00005300a,Sample 13,2.5,2.5,5.667,86.457,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,I1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K15,1.25E-06,M,BDV00005301a,Sample 9,2.5,2.5,4.98,84.541,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,I1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L15,1.25E-06,M,BDV00005301a,Sample 9,2.5,2.5,4.977,84.541,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,I1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,L14,2.5E-06,M,BDV00005301a,Sample 9,5,5,4.972,84.541,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,I1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,K14,2.5E-06,M,BDV00005301a,Sample 9,5,5,4.967,84.541,Percent,DMSO,
